COUNTRY,CONFIRMED CASES,DEATHS,RECOVERED CASES
Afghanistan,110,4,2
Albania,186,8,31
Algeria,409,26,29
Andorra,267,3,1
Angola,4,0,0
Antigua and Barbuda,7,0,0
Argentina,589,13,72
Armenia,329,1,28
Australia,3143,13,194
Austria,7657,58,225
Azerbaijan,165,3,15
Bahamas,10,0,1
Bahrain,466,4,227
Bangladesh,48,5,11
Barbados,24,0,0
Belarus,94,0,32
Belgium,7284,289,858
Belize,2,0,0
Benin,6,0,0
Bhutan,3,0,0
Bolivia,61,0,0
Bosnia and Herzegovina,237,4,5
Brazil,3417,92,6
Brunei,115,0,11
Bulgaria,293,3,9
Burkina Faso,180,9,12
Burma,8,0,0
Cabo Verde,5,1,0
Cambodia,99,0,11
Cameroon,91,2,2
Canada,4682,54,256
Central African Republic,3,0,0
Chad,3,0,0
Chile,1610,5,43
China,81897,3296,74720
Colombia,539,6,10
Congo (Brazzaville),4,0,0
Congo (Kinshasa),51,3,2
Costa Rica,263,2,3
Cote d'Ivoire,101,0,3
Croatia,586,3,37
Cuba,80,2,4
Cyprus,162,5,15
Czechia,2279,9,11
Denmark,2200,52,57
Diamond Princess,712,10,597
Djibouti,12,0,0
Dominica,11,0,0
Dominican Republic,581,20,3
Ecuador,1595,36,3
Egypt,536,30,116
El Salvador,13,0,0
Equatorial Guinea,12,0,0
Eritrea,6,0,0
Estonia,575,1,11
Eswatini,9,0,0
Ethiopia,16,0,0
Fiji,5,0,0
Finland,1041,7,10
France,33402,1997,5707
Gabon,7,1,0
Gambia,3,1,0
Georgia,83,0,14
Germany,50871,342,6658
Ghana,137,4,2
Greece,966,28,52
Grenada,7,0,0
Guatemala,28,1,4
Guinea,8,0,0
Guinea-Bissau,2,0,0
Guyana,5,1,0
Haiti,8,0,0
Holy See,4,0,0
Honduras,68,1,0
Hungary,300,10,34
Iceland,890,2,97
India,887,20,73
Indonesia,1046,87,46
Iran,32332,2378,11133
Iraq,458,40,122
Ireland,2121,22,5
Israel,3035,12,79
Italy,86498,9134,10950
Jamaica,26,1,2
Japan,1468,49,372
Jordan,235,1,18
Kazakhstan,150,1,3
Kenya,31,1,1
"Korea, South",9332,139,4528
Kosovo,86,1,1
Kuwait,225,0,57
Kyrgyzstan,58,0,0
Laos,6,0,0
Latvia,280,0,1
Lebanon,391,8,27
Liberia,3,0,0
Libya,1,0,0
Liechtenstein,56,0,0
Lithuania,358,5,1
Luxembourg,1605,15,40
Madagascar,26,0,0
Malaysia,2161,26,259
Maldives,16,0,9
Mali,11,0,0
Malta,139,0,2
Mauritania,3,0,0
Mauritius,94,2,0
Mexico,585,8,4
Moldova,199,2,2
Monaco,42,0,1
Mongolia,11,0,0
Montenegro,82,1,0
Morocco,345,23,11
Mozambique,7,0,0
Namibia,8,0,2
Nepal,4,0,1
Netherlands,8647,547,6
New Zealand,368,0,37
Nicaragua,2,1,0
Niger,10,1,0
Nigeria,70,1,3
North Macedonia,219,3,3
Norway,3755,19,6
Oman,131,0,23
Pakistan,1373,11,23
Panama,674,9,2
Papua New Guinea,1,0,0
Paraguay,52,3,1
Peru,635,11,16
Philippines,803,54,31
Poland,1389,16,7
Portugal,4268,76,43
Qatar,562,0,43
Romania,1292,26,115
Russia,1036,4,45
Rwanda,54,0,0
Saint Kitts and Nevis,2,0,0
Saint Lucia,3,0,1
Saint Vincent and the Grenadines,1,0,0
San Marino,223,21,4
Saudi Arabia,1104,3,35
Senegal,119,0,11
Serbia,457,1,0
Seychelles,7,0,0
Singapore,732,2,183
Slovakia,269,0,2
Slovenia,632,9,10
Somalia,3,0,0
South Africa,1170,1,31
Spain,65719,5138,9357
Sri Lanka,106,0,7
Sudan,3,1,0
Suriname,8,0,0
Sweden,3069,105,16
Switzerland,12928,231,1530
Syria,5,0,0
Taiwan*,267,2,29
Tanzania,13,0,1
Thailand,1136,5,97
Timor-Leste,1,0,0
Togo,25,1,1
Trinidad and Tobago,66,2,1
Tunisia,227,6,2
Turkey,5698,92,42
US,101657,1581,869
Uganda,23,0,0
Ukraine,310,5,5
United Arab Emirates,405,2,52
United Kingdom,14745,761,151
Uruguay,238,0,0
Uzbekistan,88,1,5
Venezuela,107,1,31
Vietnam,163,0,20
West Bank and Gaza,91,1,17
Zambia,22,0,0
Zimbabwe,5,1,0
